Ward,Region,Latitude,Longitude,06-01-tif,06-02-tif,06-03-tif,06-04-tif,06-05-tif,06-06-tif,06-07-tif,06-08-tif,06-09-tif,06-10-tif,06-11-tif,06-12-tif,06-13-tif,06-14-tif,06-15-tif,06-16-tif,06-17-tif,06-18-tif,06-19-tif,06-20-tif,06-21-tif,06-22-tif,06-23-tif,06-24-tif,06-25-tif,06-26-tif,06-27-tif,06-28-tif,06-29-tif,06-30-tif,07-01-tif,07-02-tif,07-03-tif,07-04-tif,07-05-tif,07-06-tif,07-07-tif,07-08-tif,07-09-tif,07-10-tif,07-11-tif,07-12-tif,07-13-tif,07-14-tif,07-15-tif,07-16-tif,07-17-tif,07-18-tif,07-19-tif,07-20-tif,07-21-tif,07-22-tif,07-23-tif,07-24-tif,07-25-tif,07-26-tif,07-27-tif,07-28-tif,07-29-tif,07-30-tif,07-31-tif,08-01-tif,08-02-tif,08-03-tif,08-04-tif,08-05-tif,08-06-tif,08-07-tif,08-08-tif,08-09-tif,08-10-tif,08-11-tif,08-12-tif,08-13-tif,08-14-tif,08-15-tif,08-16-tif,08-17-tif,08-18-tif,08-19-tif,08-20-tif,08-21-tif,08-22-tif,08-23-tif,08-24-tif,08-25-tif,08-26-tif,08-27-tif,08-28-tif,08-29-tif,08-30-tif,08-31-tif,09-01-tif,09-02-tif,09-03-tif,09-04-tif,09-05-tif,09-06-tif,09-07-tif,09-08-tif,09-09-tif,09-10-tif,09-11-tif,09-12-tif,09-13-tif,09-14-tif,09-15-tif,09-16-tif,09-17-tif,09-18-tif,09-19-tif,09-20-tif,09-21-tif,09-22-tif,09-23-tif,09-24-tif,09-25-tif,09-26-tif,09-27-tif,09-28-tif,09-29-tif,09-30-tif
A,Colaba Causeway,18.9153,72.8126,0.0,0.0,0.0,6.610472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2741,0.0,83.7106,0.0,83.7106,167.4212,41.8553,102.62027,0.0,0.0,102.62027,102.62027,0.0,120.61743,0.0,0.0,0.0,0.0,53.67487,0.0,107.34974,0.0,0.0,0.0,0.0,339.2673,0.0,0.0,104.92456,0.0,0.0,157.38686,143.63202,215.44803,0.0,0.0,0.0,0.0,0.0,7.9793267,0.0,0.0,0.0,0.0,0.0,0.0,7.9891987,8.119713,7.631349,7.6202626,0.0,0.0,0.0,0.0,0.0,0.0,11.608275,0.0,0.0,0.0,0.0,10.1118965,9.995894,16.118979,10.341708,11.971066,0.0,0.0,0.0,0.0,31.219948,0.0,0.0,0.0,0.0,74.19847,74.19847,0.0,0.0,0.0,0.0,0.0,0.0,12.446458,33.529606,0.0,0.0,0.0,0.0,62.92721,0.0,41.951473,0.0,0.0,40.95121,0.0,40.95121,20.475605,40.95121
A,Ballard Estate,18.9482,72.8359,0.0,0.0,0.0,6.610472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2741,0.0,83.7106,0.0,83.7106,167.4212,41.8553,102.62027,0.0,0.0,102.62027,102.62027,0.0,120.61743,0.0,0.0,0.0,0.0,53.67487,0.0,107.34974,0.0,0.0,0.0,0.0,339.2673,0.0,0.0,104.92456,0.0,0.0,157.38686,143.63202,215.44803,0.0,0.0,0.0,0.0,0.0,7.9793267,0.0,0.0,0.0,0.0,0.0,0.0,7.9891987,8.119713,7.631349,7.6202626,0.0,0.0,0.0,0.0,0.0,0.0,11.608275,0.0,0.0,0.0,0.0,10.1118965,9.995894,16.118979,10.341708,11.971066,0.0,0.0,0.0,0.0,31.219948,0.0,0.0,0.0,0.0,74.19847,74.19847,0.0,0.0,0.0,0.0,0.0,0.0,12.446458,33.529606,0.0,0.0,0.0,0.0,62.92721,0.0,41.951473,0.0,0.0,40.95121,0.0,40.95121,20.475605,40.95121
A,Regal Circle,18.9222,72.8324,0.0,0.0,0.0,6.610472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2741,0.0,83.7106,0.0,83.7106,167.4212,41.8553,102.62027,0.0,0.0,102.62027,102.62027,0.0,120.61743,0.0,0.0,0.0,0.0,53.67487,0.0,107.34974,0.0,0.0,0.0,0.0,339.2673,0.0,0.0,104.92456,0.0,0.0,157.38686,143.63202,215.44803,0.0,0.0,0.0,0.0,0.0,7.9793267,0.0,0.0,0.0,0.0,0.0,0.0,7.9891987,8.119713,7.631349,7.6202626,0.0,0.0,0.0,0.0,0.0,0.0,11.608275,0.0,0.0,0.0,0.0,10.1118965,9.995894,16.118979,10.341708,11.971066,0.0,0.0,0.0,0.0,31.219948,0.0,0.0,0.0,0.0,74.19847,74.19847,0.0,0.0,0.0,0.0,0.0,0.0,12.446458,33.529606,0.0,0.0,0.0,0.0,62.92721,0.0,41.951473,0.0,0.0,40.95121,0.0,40.95121,20.475605,40.95121
A,Metro Cinema Subway,18.9493,72.8276,0.0,0.0,0.0,6.610472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2741,0.0,83.7106,0.0,83.7106,167.4212,41.8553,102.62027,0.0,0.0,102.62027,102.62027,0.0,120.61743,0.0,0.0,0.0,0.0,53.67487,0.0,107.34974,0.0,0.0,0.0,0.0,339.2673,0.0,0.0,104.92456,0.0,0.0,157.38686,143.63202,215.44803,0.0,0.0,0.0,0.0,0.0,7.9793267,0.0,0.0,0.0,0.0,0.0,0.0,7.9891987,8.119713,7.631349,7.6202626,0.0,0.0,0.0,0.0,0.0,0.0,11.608275,0.0,0.0,0.0,0.0,10.1118965,9.995894,16.118979,10.341708,11.971066,0.0,0.0,0.0,0.0,31.219948,0.0,0.0,0.0,0.0,74.19847,74.19847,0.0,0.0,0.0,0.0,0.0,0.0,12.446458,33.529606,0.0,0.0,0.0,0.0,62.92721,0.0,41.951473,0.0,0.0,40.95121,0.0,40.95121,20.475605,40.95121
B,Dongri Circle,18.9549,72.8356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.982706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.55327,0.0,105.280464,35.09349,35.09349,140.37396,35.09349,113.154884,0.0,0.0,75.43659,75.43659,0.0,155.0556,0.0,0.0,0.0,0.0,80.65621,0.0,80.65621,0.0,0.0,0.0,65.90137,263.60547,0.0,49.451168,98.902336,0.0,0.0,148.3535,91.61294,274.83884,0.0,0.0,0.0,0.0,0.0,8.293731,0.0,0.0,0.0,0.0,0.0,0.0,8.344841,8.523853,8.221117,8.040013,0.0,0.0,0.0,0.0,0.0,0.0,12.342109,0.0,0.0,0.0,0.0,10.803478,10.666036,17.289675,11.050569,12.403123,0.0,0.0,0.0,0.0,30.671478,0.0,0.0,0.0,0.0,74.00464,74.00464,0.0,0.0,0.0,0.0,0.0,0.0,18.460697,30.001684,0.0,0.0,0.0,0.0,57.75524,0.0,57.75524,0.0,0.0,45.826675,0.0,45.826675,22.913338,45.826675
B,P D’Mello Road,18.9531,72.8445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.982706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.55327,0.0,105.280464,35.09349,35.09349,140.37396,35.09349,113.154884,0.0,0.0,75.43659,75.43659,0.0,155.0556,0.0,0.0,0.0,0.0,80.65621,0.0,80.65621,0.0,0.0,0.0,65.90137,263.60547,0.0,49.451168,98.902336,0.0,0.0,148.3535,91.61294,274.83884,0.0,0.0,0.0,0.0,0.0,8.293731,0.0,0.0,0.0,0.0,0.0,0.0,8.344841,8.523853,8.221117,8.040013,0.0,0.0,0.0,0.0,0.0,0.0,12.342109,0.0,0.0,0.0,0.0,10.803478,10.666036,17.289675,11.050569,12.403123,0.0,0.0,0.0,0.0,30.671478,0.0,0.0,0.0,0.0,74.00464,74.00464,0.0,0.0,0.0,0.0,0.0,0.0,18.460697,30.001684,0.0,0.0,0.0,0.0,57.75524,0.0,57.75524,0.0,0.0,45.826675,0.0,45.826675,22.913338,45.826675
B,Carnac Bunder underpass,18.9513,72.8365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.982706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.55327,0.0,105.280464,35.09349,35.09349,140.37396,35.09349,113.154884,0.0,0.0,75.43659,75.43659,0.0,155.0556,0.0,0.0,0.0,0.0,80.65621,0.0,80.65621,0.0,0.0,0.0,65.90137,263.60547,0.0,49.451168,98.902336,0.0,0.0,148.3535,91.61294,274.83884,0.0,0.0,0.0,0.0,0.0,8.293731,0.0,0.0,0.0,0.0,0.0,0.0,8.344841,8.523853,8.221117,8.040013,0.0,0.0,0.0,0.0,0.0,0.0,12.342109,0.0,0.0,0.0,0.0,10.803478,10.666036,17.289675,11.050569,12.403123,0.0,0.0,0.0,0.0,30.671478,0.0,0.0,0.0,0.0,74.00464,74.00464,0.0,0.0,0.0,0.0,0.0,0.0,18.460697,30.001684,0.0,0.0,0.0,0.0,57.75524,0.0,57.75524,0.0,0.0,45.826675,0.0,45.826675,22.913338,45.826675
C,Marine Lines Subway,18.9498,72.8251,0.0,0.0,0.0,6.610472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2741,0.0,83.7106,0.0,83.7106,167.4212,41.8553,102.62027,0.0,0.0,102.62027,102.62027,0.0,120.61743,0.0,0.0,0.0,0.0,53.67487,0.0,107.34974,0.0,0.0,0.0,0.0,339.2673,0.0,0.0,104.92456,0.0,0.0,157.38686,143.63202,215.44803,0.0,0.0,0.0,0.0,0.0,7.9793267,0.0,0.0,0.0,0.0,0.0,0.0,7.9891987,8.119713,7.631349,7.6202626,0.0,0.0,0.0,0.0,0.0,0.0,11.608275,0.0,0.0,0.0,0.0,10.1118965,9.995894,16.118979,10.341708,11.971066,0.0,0.0,0.0,0.0,31.219948,0.0,0.0,0.0,0.0,74.19847,74.19847,0.0,0.0,0.0,0.0,0.0,0.0,12.446458,33.529606,0.0,0.0,0.0,0.0,62.92721,0.0,41.951473,0.0,0.0,40.95121,0.0,40.95121,20.475605,40.95121
C,CST Subway,18.9477,72.8353,0.0,0.0,0.0,6.610472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2741,0.0,83.7106,0.0,83.7106,167.4212,41.8553,102.62027,0.0,0.0,102.62027,102.62027,0.0,120.61743,0.0,0.0,0.0,0.0,53.67487,0.0,107.34974,0.0,0.0,0.0,0.0,339.2673,0.0,0.0,104.92456,0.0,0.0,157.38686,143.63202,215.44803,0.0,0.0,0.0,0.0,0.0,7.9793267,0.0,0.0,0.0,0.0,0.0,0.0,7.9891987,8.119713,7.631349,7.6202626,0.0,0.0,0.0,0.0,0.0,0.0,11.608275,0.0,0.0,0.0,0.0,10.1118965,9.995894,16.118979,10.341708,11.971066,0.0,0.0,0.0,0.0,31.219948,0.0,0.0,0.0,0.0,74.19847,74.19847,0.0,0.0,0.0,0.0,0.0,0.0,12.446458,33.529606,0.0,0.0,0.0,0.0,62.92721,0.0,41.951473,0.0,0.0,40.95121,0.0,40.95121,20.475605,40.95121
C,Princess Street corner,18.9519,72.8268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.982706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.55327,0.0,105.280464,35.09349,35.09349,140.37396,35.09349,113.154884,0.0,0.0,75.43659,75.43659,0.0,155.0556,0.0,0.0,0.0,0.0,80.65621,0.0,80.65621,0.0,0.0,0.0,65.90137,263.60547,0.0,49.451168,98.902336,0.0,0.0,148.3535,91.61294,274.83884,0.0,0.0,0.0,0.0,0.0,8.293731,0.0,0.0,0.0,0.0,0.0,0.0,8.344841,8.523853,8.221117,8.040013,0.0,0.0,0.0,0.0,0.0,0.0,12.342109,0.0,0.0,0.0,0.0,10.803478,10.666036,17.289675,11.050569,12.403123,0.0,0.0,0.0,0.0,30.671478,0.0,0.0,0.0,0.0,74.00464,74.00464,0.0,0.0,0.0,0.0,0.0,0.0,18.460697,30.001684,0.0,0.0,0.0,0.0,57.75524,0.0,57.75524,0.0,0.0,45.826675,0.0,45.826675,22.913338,45.826675
