DATE,Ward Code,Areas,Latitude,Longitude,Nearest Station,Elevation,Land Use Classes,Population,Road Density_m,Distance_to_water_m,Soil Type,Built_up%,True_nearest_distance_m,Rainfall_mm,Rainfall_Intensity_mm_hr,Rainfall Days Count,Rainfall_Hours
2025-09-13,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,12.7,3.5,1,17.0
2025-09-14,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,12.2,2.8,1,22.0
2025-09-15,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,65.5,10.6,1,18.0
2025-09-16,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,5.2,0.9,1,23.0
2025-09-17,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,25.7,14.8,1,21.0
2025-09-18,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,10.4,1.9,1,21.0
2025-09-19,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,0.0,0.7,0,3.0
2025-09-20,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,22.4,0.9333333333333332,1,24.0
2025-09-21,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,23.7,0.9874999999999999,1,24.0
2025-09-22,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,43.5,1.8125,1,24.0
2025-09-23,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,29.8,1.3545454545454545,1,22.0
2025-09-24,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,3.3,0.15714285714285714,1,21.0
2025-09-25,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,1.8,0.15,1,12.0
2025-09-26,Ward H/E,Air India Colony,19.084,72.87,Kurla Nalla,9.0,"residential, institutional",600000,15.18,10,Sandy,70.0,400.56,3.6,0.2,1,18.0
2025-09-13,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,12.7,3.5,1,17.0
2025-09-14,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,12.2,2.8,1,22.0
2025-09-15,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,65.5,10.6,1,18.0
2025-09-16,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,5.2,0.9,1,23.0
2025-09-17,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,25.7,14.8,1,21.0
2025-09-18,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,10.4,1.9,1,21.0
2025-09-19,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,0.0,0.7,0,3.0
2025-09-20,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,22.4,0.9333333333333332,1,24.0
2025-09-21,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,23.7,0.9874999999999999,1,24.0
2025-09-22,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,43.5,1.8125,1,24.0
2025-09-23,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,29.8,1.3545454545454545,1,22.0
2025-09-24,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,3.3,0.15714285714285714,1,21.0
2025-09-25,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,1.8,0.15,1,12.0
2025-09-26,Ward K/E,Airport Gate 8 Road,19.0995,72.8662,Mithi River,14.0,"industrial, transport, mixed_use",750000,17.61,13,Urban,90.0,414.18,3.6,0.2,1,18.0
2025-09-13,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,10.7,2.8,1,17.0
2025-09-14,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,14.2,2.8,1,22.0
2025-09-15,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,56.1,8.9,1,18.0
2025-09-16,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,14.5,7.3,1,22.0
2025-09-17,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,22.3,13.7,1,22.0
2025-09-18,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,16.0,3.9,1,21.0
2025-09-19,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,0.0,0.1,0,4.0
2025-09-20,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,22.4,0.9333333333333332,1,24.0
2025-09-21,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,23.7,0.9874999999999999,1,24.0
2025-09-22,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,43.5,1.8125,1,24.0
2025-09-23,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,29.8,1.3545454545454545,1,22.0
2025-09-24,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,3.3,0.15714285714285714,1,21.0
2025-09-25,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,1.8,0.15,1,12.0
2025-09-26,Ward N,Amar Mahal Junction,19.0594,72.9084,Powai Lake,9.0,"transport, residential, mixed_use",520000,23.63,14,Urban,90.0,48.44,3.6,0.2,1,18.0
2025-09-13,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,12.7,3.5,1,17.0
2025-09-14,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,12.2,2.8,1,22.0
2025-09-15,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,65.5,10.6,1,18.0
2025-09-16,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,5.2,0.9,1,23.0
2025-09-17,Ward K/E,Andheri East,19.1158835,72.854202,Mithi River,7.156397627,commercial,880000,2.432311889,4898,Urban,69.58978195,3528.0,25.7,14.8,1,21.0
