Ward Code,Areas,Latitude,Longitude,Flood-risk_level
Ward A,Colaba Causeway,18.9151,72.8141,High
Ward A,Ballard Estate,18.9496,72.8414,High
Ward A,Regal Circle,18.9225,72.8312,High
Ward A,Fort,18.9332665,72.8345146,High
Ward A,Metro Cinema Subway,18.9445,72.8279,High
Ward B,Dongri Circle,18.9594,72.8376,High
Ward B,P D'Mello Road (near Masjid Bunder),18.9556,72.8412,High
Ward B,Carnac Bunder underpass,18.9519,72.8356,High
Ward C,Marine Lines Subway,18.9458,72.8238,Moderate
Ward C,CST Subway (near St. Xavier's),18.9472,72.8272,Moderate
Ward C,Bhuleshwar,18.9537706,72.8274755,High
Ward C,Princess Street corner (Marine Lines Junction),18.9494,72.8278,High
Ward E,Nair Hospital Junction,18.9713,72.8255,High
Ward E,Byculla,18.9766219,72.8327936,Low
Ward E,Saat Rasta Junction,18.9754,72.8226,High
Ward E,Madanpura,18.970585,72.826843,High
Ward E,Dockyard Road (Mazgaon),18.9637,72.8443,High
Ward F/N,King's Circle,19.0272,72.8559,High
Ward F/N,Sion Circle,19.0373,72.8555,High
Ward F/N,Gandhi Market Junction,19.0337,72.8512,High
Ward F/N,Matunga,19.0274356,72.8501467,High
Ward F/N,Five Gardens Underpass,19.0163,72.8494,High
Ward F/N,Wadala,19.0269192,72.8759337,High
Ward F/N,Hindmata Junction,19.0199,72.8439,High
Ward F/S,Naigaon Cross Road,19.0081,72.8367,High
Ward F/S,Sewri,19.001418,72.8542575,High
Ward F/S,Jerbai Wadia Road,19.0049,72.8397,High
Ward G/N,Dadar TT,19.0195,72.8436,High
Ward G/N,Mahim,19.0423145,72.8398344,High
Ward G/N,LJ Road Junction,19.0372,72.8401,High
Ward G/N,Dharavi,19.044463,72.8586177,Low
Ward G/N,Near Kirti College,19.0294,72.8371,High
Ward G/N,Lady Jamshedji Road,19.0299,72.8393,High
Ward G/S,Worli,19.0086178,72.8192495,Low
Ward G/S,Elphinstone Bridge (Lower Parel),19.0172,72.8337,High
Ward G/S,Prabhadevi,19.0148811,72.8279556,High
Ward G/S,Tulsi Pipe Road near station,19.0098,72.8319,High
Ward G/S,Worli Naka (coastal backflow),19.0056,72.8199,High
Ward H/E,Kalina CST Road,19.0802,72.8655,High
Ward H/E,Air India Colony,19.084,72.87,High
Ward H/E,Kalina University Junction,19.0722,72.8673,High
Ward H/E,Vakola Nala stretch,19.0754,72.8517,High
Ward H/W,Linking Road near National College,19.0543,72.8301,High
Ward H/W,Khar West,19.07039785,72.83161431,High
Ward H/W,SV Road (Khar Subway),19.0717,72.8391,High
Ward H/W,Santacruz West,19.0844004,72.8372899,High
Ward H/W,Waterfield Road,19.0605,72.8335,High
Ward K/E,Saki Naka Junction,19.1031,72.8882,High
Ward K/E,Marol Naka,19.1049,72.8837,High
Ward K/E,JB Nagar (Metro area),19.1089,72.8664,High
Ward K/E,Andheri East,19.1158835,72.854202,High
Ward K/E,Airport Gate 8 Road,19.0995,72.8662,High
Ward K/W,SV Road (Andheri Subway),19.1182,72.8463,High
Ward K/W,Oshiwara Nullah stretch,19.1482,72.8273,High
Ward K/W,Vile Parle West,19.103908,72.840301,High
Ward K/W,DN Nagar Metro area,19.136,72.8314,High
Ward P/N,Kurar Village,19.1903,72.8605,High
Ward P/N,Pathanwadi,19.1834,72.8701,High
Ward P/N,Marve,19.1946967,72.7992026,High
Ward P/N,Pushpa Park,19.1853,72.8623,High
Ward P/N,Western Express Lowway slope,19.1906,72.8636,High
Ward P/S,MG Road,19.1598,72.8445,High
Ward P/S,Siddharth Hospital area,19.1639,72.8433,High
Ward P/S,Goregaon,19.1648688,72.8495492,High
Ward P/S,Motilal Nagar,19.1613,72.8407,High
Ward P/S,Goregaon Station Subway,19.1555,72.8441,High
Ward R/N,Dahisar Subway,19.2525,72.8601,High
Ward R/N,Ovaripada slum slope,19.2536,72.8682,High
Ward R/N,Dahisar,19.2493572,72.8596302,High
Ward R/S,Shimpoli Road,19.2064,72.8376,High
Ward R/S,Poinsur Depot,19.2083,72.8361,High
Ward R/S,Kandivali,19.2041136,72.8517376,High
Ward R/S,Mahavir Nagar junction,19.206,72.83,High
Ward R/C,IC Colony Subway,19.2365,72.8322,High
Ward R/C,Mandapeshwar Creek edge,19.2408,72.8173,High
Ward R/C,Borivali,19.229068,72.8573628,High
Ward L,Kurla Station (West & East),19.0727,72.8826,Low
Ward L,Bail Bazaar,19.0722,72.8771,High
Ward L,LBS Road near Phoenix Marketcity,19.0888,72.8861,High
Ward L,CST Road Nullah,19.0813,72.8711,High
Ward M/E,Shivaji Nagar,19.0572,72.8999,High
Ward M/E,Baiganwadi,19.0566,72.9021,High
Ward M/E,Chembur East Bus Depot,19.0524,72.9005,High
Ward M/W,Mahul Village,19.0054,72.8841,High
Ward M/W,RC Marg,19.0443,72.8943,High
Ward M/W,Shell Colony,19.0431,72.8995,High
Ward M/W,Chembur,19.054818,72.8979713,High
Ward M/W,Trombay Road Sectors,19.0005,72.8873,High
Ward N,Pant Nagar,19.0845,72.9107,High
Ward N,Amar Mahal Junction,19.0594,72.9084,High
Ward N,RB Kadam Marg,19.0898,72.9156,High
Ward S,Bhandup Tank Road,19.1436,72.9357,High
Ward S,LBS Marg near Bhandup Station,19.1413,72.9341,High
Ward S,Kanjurmarg,19.1253912,72.9252519,High
Ward S,Ganesh Nagar Slum Slope,19.1145,72.9306,High
Ward S,Bhandup,19.1438684,72.9384327,High
Ward T,Mehul Circle,19.1741,72.9592,High
Ward T,Mulund,19.1704719,72.9610447,High
Ward T,Sarojini Naidu Road,19.172,72.9554,High
Ward T,Lok Rachana Society,19.1748,72.9426,High
Ward T,Panch Rasta,19.1735,72.9478,High
Ward T,Mulund Railway Subway,19.1728,72.9473,High
